Scene Title,BPM,Notes
,,
,,
2_G5_Intro,120,
3_G5_B,120,
4_G5_Looooong,120,
5_G5_Climax_A,120,
6_G5_Climax_B,120,
7_G5_Outro,120,
,,
,,
,,
11_WWW_Intro,126,???
12_WWW_Breakdown,126,
13_WWW_Climax+Bass,126,
14_WWW_Bass_Solo,126,
15_WWW_Outro,126,
,,
,,
,,
,,
,,
21_Shnaa_Intro,162,
22,162,???
23_Shnaa_B_BIG,162,
24_Shnaa_Break,162,
25_Shnaa_B_BIG_2,162,
26_Shnaa_Outro,162,
,,
,,
29_Mono_Intro,128,
30_Mono_Break,128,
31_Mono_Verse,128,
32_Mono_Outro,128,
,,
,,
,,
36_Lioness_Intro,136,
37_Lioness_Drop,136,
38_Lioness_Climax+Vox_Solo,136,
39_Lioness_Fade,136,
,,
,,
42_Sun_Intro,90,???
43_Sun_Full,90,
44_Sun_Bridge,90,
45_Sun_Climax,90,
,,
,,
,,
49_Melo_Intro,108,
50_Melo_Climax,108,
51_Melo_Acid-Rise,108,
52_Melo_Piano,108,
53_Melo_Climax_2,108,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
83_Hanabi_Intro_Stopped,96,Stopped
84_Hanabi_Intro,96,
85_Hanabi_Beat,96,
86_Hanabi_Climax,96,
87_Hanabi_Breakdown,96,
88_Hanabi_Outro,96,
,,
90_Frank_Frank_Stopped,91,
91_Frank_Pickup,91,
92_Frank_Climax1,91,
93_Frank_Piano-Solo,91,
94_Frank_Climax2,91,
95_Frank_Outro,91,
